PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Aaron Gordon,DEN,25,329,66,106,62.3,13,32,40.6,17,37,45.9,10,28,35.7,17,46,37,30,80,37.5,63,93,67.7,27,62,43.5,18,56,32.1,6,12,50,2,8,25,8,20,40,37,99,37.4
Aaron Holiday,IND,24,306,47,114,41.2,14,32,43.8,8,19,42.1,6,10,60,16,40,40,28,91,30.8,45,101,44.6,21,57,36.8,9,20,45,9,16,56.3,6,12,50,15,28,53.6,30,103,29.1
Al Horford,OKC,34,360,53,88,60.2,24,54,44.4,14,28,50,14,32,43.8,16,47,34,41,111,36.9,46,77,59.7,36,70,51.4,24,61,39.3,3,7,42.9,1,11,9.1,4,18,22.2,52,134,38.8
Alec Burks,NYK,29,393,40,84,47.6,9,26,34.6,15,43,34.9,18,41,43.9,43,100,43,42,99,42.4,39,79,49.4,18,55,32.7,31,71,43.7,16,37,43.2,14,22,63.6,30,59,50.8,49,130,37.7
Aleksej Pokusevski,OKC,19,249,22,48,45.8,7,24,29.2,7,17,41.2,9,27,33.3,14,48,29.2,22,85,25.9,21,41,51.2,10,36,27.8,16,46,34.8,6,19,31.6,3,10,30,9,29,31,25,98,25.5
Andre Drummond,LAL,27,385,147,293,50.2,32,71,45.1,3,10,30,0,3,0,0,3,0,0,5,0,136,263,51.7,46,105,43.8,0,10,0,0,0,0,0,0,0,0,0,-,0,7,0
Andrew Wiggins,GSW,26,708,137,211,64.9,35,76,46.1,22,62,35.5,31,76,40.8,42,117,35.9,71,166,42.8,125,190,65.8,60,129,46.5,50,136,36.8,17,44,38.6,10,23,43.5,27,67,40.3,77,192,40.1
Anfernee Simons,POR,21,280,14,30,46.7,7,21,33.3,1,9,11.1,7,14,50,29,62,46.8,57,144,39.6,14,27,51.9,7,27,25.9,10,27,37,8,14,57.1,8,16,50,16,30,53.3,68,171,39.8
Anthony Davis,LAL,28,382,90,122,73.8,35,57,61.4,40,79,50.6,20,55,36.4,12,31,38.7,7,38,18.4,86,112,76.8,59,101,58.4,42,112,37.5,4,5,80,4,5,80,8,10,80,9,48,18.8
Anthony Edwards,MIN,19,832,172,312,55.1,24,65,36.9,6,33,18.2,12,64,18.8,55,153,35.9,62,205,30.2,165,291,56.7,34,103,33,24,99,24.2,11,38,28.9,6,27,22.2,17,65,26.2,91,279,32.6
Aron Baynes,TOR,34,267,74,132,56.1,8,21,38.1,6,14,42.9,2,5,40,6,31,19.4,17,64,26.6,66,118,55.9,17,42,40.5,9,17,52.9,2,7,28.6,0,8,0,2,15,13.3,19,75,25.3
Bam Adebayo,MIA,23,563,181,251,72.1,51,109,46.8,53,112,47.3,26,76,34.2,5,10,50,1,5,20,173,228,75.9,92,207,44.4,50,121,41.3,0,1,0,0,0,0,0,1,0,2,7,28.6
Ben McLemore,HOU,28,220,18,31,58.1,3,7,42.9,0,6,0,2,9,22.2,34,67,50.7,22,100,22,18,31,58.1,3,10,30,4,17,23.5,13,25,52,8,17,47.1,21,42,50,34,123,27.6
Ben Simmons,PHI,24,453,197,322,61.2,37,91,40.7,9,30,30,1,1,100,1,5,20,2,4,50,181,285,63.5,60,146,41.1,3,13,23.1,0,1,0,1,2,50,1,3,33.3,2,6,33.3
Blake Griffin,BKN,32,249,43,67,64.2,9,29,31,2,9,22.2,1,8,12.5,14,50,28,31,86,36,39,57,68.4,13,39,33.3,3,21,14.3,5,20,25,2,3,66.7,7,23,30.4,38,113,33.6
Bobby Portis,MIL,26,389,85,125,68,19,50,38,30,54,55.6,17,43,39.5,27,52,51.9,32,65,49.2,80,115,69.6,40,84,47.6,41,86,47.7,7,14,50,9,21,42.9,16,35,45.7,33,69,47.8
Bogdan Bogdanovic,ATL,28,249,27,40,67.5,5,15,33.3,11,28,39.3,7,15,46.7,21,53,39.6,39,98,39.8,23,33,69.7,16,39,41,14,30,46.7,7,9,77.8,10,23,43.5,17,32,53.1,41,119,34.5
Bojan Bogdanovic,UTA,31,583,65,131,49.6,36,83,43.4,19,43,44.2,3,15,20,65,182,35.7,56,129,43.4,60,113,53.1,48,117,41,15,44,34.1,17,50,34,44,96,45.8,61,146,41.8,60,164,36.6
Bradley Beal,WAS,27,923,172,268,64.2,53,108,49.1,45,111,40.5,74,133,55.6,38,103,36.9,67,200,33.5,140,214,65.4,99,201,49.3,120,245,49,8,22,36.4,7,20,35,15,42,35.7,75,224,33.5
