PLAYER,TEAM,AGE,TOTAL FGA,FGM04,FGA04,FGP04,FGM59,FGA59,FGP59,FGM10,FGA10,FGP10,FGM15,FGA15,FGP15,FGM20,FGA20,FGP20,FGM25,FGA25,FGP25
Nikola Vucevic,CHI,30,985,127,192,66.1,84,175,48,64,142,45.1,57,125,45.6,42,96,43.8,102,255,40
De'Aaron Fox,SAC,23,930,197,303,65,58,125,46.4,63,118,53.4,29,83,34.9,38,104,36.5,61,197,31
Bradley Beal,WAS,27,923,172,268,64.2,53,108,49.1,45,111,40.5,74,133,55.6,38,103,36.9,67,200,33.5
Donovan Mitchell,UTA,24,922,125,236,53,43,114,37.7,36,75,48,29,71,40.8,50,139,36,118,287,41.1
Luka Doncic,DAL,22,906,154,238,64.7,67,142,47.2,55,111,49.5,34,68,50,23,42,54.8,111,305,36.4
Nikola Jokic,DEN,26,894,210,318,66,120,199,60.3,48,109,44,50,90,55.6,28,50,56,52,128,40.6
Jayson Tatum,BOS,23,892,151,241,62.7,44,118,37.3,43,103,41.7,35,95,36.8,43,99,43.4,88,236,37.3
Zach LaVine,CHI,26,892,216,334,64.7,18,42,42.9,14,37,37.8,36,71,50.7,68,145,46.9,105,263,39.9
Julius Randle,NYK,26,880,130,229,56.8,46,104,44.2,69,156,44.2,53,113,46.9,54,123,43.9,58,155,37.4
Damian Lillard,POR,30,872,156,268,58.2,14,47,29.8,16,33,48.5,26,54,48.1,44,109,40.4,144,361,39.9
Jaylen Brown,BOS,24,866,162,265,61.1,49,110,44.5,35,79,44.3,41,87,47.1,58,128,45.3,75,197,38.1
Devin Booker,PHX,24,846,135,212,63.7,47,88,53.4,77,153,50.3,58,106,54.7,44,93,47.3,63,194,32.5
Anthony Edwards,MIN,19,832,172,312,55.1,24,65,36.9,6,33,18.2,12,64,18.8,55,153,35.9,62,205,30.2
Giannis Antetokounmpo,MIL,26,826,349,452,77.2,31,96,32.3,15,51,29.4,16,49,32.7,14,32,43.8,43,146,29.5
Brandon Ingram,NOP,23,819,109,162,67.3,25,66,37.9,68,138,49.3,66,142,46.5,55,135,40.7,68,176,38.6
Jerami Grant,DET,27,810,139,235,59.1,32,86,37.2,21,64,32.8,39,103,37.9,41,116,35.3,73,206,35.4
Stephen Curry,GSW,33,806,110,181,60.8,38,68,55.9,27,46,58.7,21,47,44.7,46,114,40.4,149,350,42.6
Russell Westbrook,WAS,32,801,155,251,61.8,37,103,35.9,20,68,29.4,62,151,41.1,28,80,35,45,148,30.4
Collin Sexton,CLE,22,784,144,241,59.8,69,149,46.3,69,127,54.3,21,66,31.8,25,60,41.7,49,141,34.8
Trae Young,ATL,22,768,101,194,52.1,73,155,47.1,43,113,38.1,18,38,47.4,25,54,46.3,75,214,35
Kawhi Leonard,LAC,29,764,130,180,72.2,53,104,51,73,145,50.3,52,118,44.1,28,70,40,58,147,39.5
Jamal Murray,DEN,24,763,98,144,68.1,35,67,52.2,46,93,49.5,55,126,43.7,48,118,40.7,86,215,40
Malcolm Brogdon,IND,28,763,153,296,51.7,15,35,42.9,21,51,41.2,33,70,47.1,41,83,49.4,86,228,37.7
Kyrie Irving,BKN,29,748,115,188,61.2,61,113,54,59,115,51.3,42,66,63.6,24,60,40,84,206,40.8
RJ Barrett,NYK,20,746,187,344,54.4,33,94,35.1,21,53,39.6,21,60,35,47,124,37.9,24,71,33.8
LeBron James,LAL,36,745,203,276,73.6,25,50,50,28,69,40.6,24,68,35.3,24,67,35.8,81,215,37.7
