PLAYER,TEAM,AGE,TOTAL FG,FGM01,FGA01,FGP01,FGM02,FGA02,FGP02,FGM03,FGA03,FGP03,FGM04,FGA04,FGP04,FGM05,FGA05,FGP05,FGM06,FGA06,FGP06,FGM07,FGA07,FGP07,,
Aaron Gordon,DEN,25,330,63,93,67.7,27,62,43.5,18,56,32.1,6,12,50,2,8,25,8,20,40,37,99,37.4,,
Aaron Holiday,IND,24,309,45,101,44.6,21,57,36.8,9,20,45,9,16,56.3,6,12,50,15,28,53.6,30,103,29.1,,
Al Horford,OKC,34,360,46,77,59.7,36,70,51.4,24,61,39.3,3,7,42.9,1,11,9.1,4,18,22.2,52,134,38.8,,
Alec Burks,NYK,29,394,39,79,49.4,18,55,32.7,31,71,43.7,16,37,43.2,14,22,63.6,30,59,50.8,49,130,37.7,,
Aleksej Pokusevski,OKC,19,250,21,41,51.2,10,36,27.8,16,46,34.8,6,19,31.6,3,10,30,9,29,31,25,98,25.5,,
Andre Drummond,LAL,27,385,136,263,51.7,46,105,43.8,0,10,0,0,0,0,0,0,0,0,0,-,0,7,0,,
Andrew Wiggins,GSW,26,714,125,190,65.8,60,129,46.5,50,136,36.8,17,44,38.6,10,23,43.5,27,67,40.3,77,192,40.1,,
Anfernee Simons,POR,21,282,14,27,51.9,7,27,25.9,10,27,37,8,14,57.1,8,16,50,16,30,53.3,68,171,39.8,,
Anthony Davis,LAL,28,383,86,112,76.8,59,101,58.4,42,112,37.5,4,5,80,4,5,80,8,10,80,9,48,18.8,,
Anthony Edwards,MIN,19,837,165,291,56.7,34,103,33,24,99,24.2,11,38,28.9,6,27,22.2,17,65,26.2,91,279,32.6,,
Aron Baynes,TOR,34,267,66,118,55.9,17,42,40.5,9,17,52.9,2,7,28.6,0,8,0,2,15,13.3,19,75,25.3,,
Bam Adebayo,MIA,23,564,173,228,75.9,92,207,44.4,50,121,41.3,0,1,0,0,0,0,0,1,0,2,7,28.6,,
Ben McLemore,HOU,28,223,18,31,58.1,3,10,30,4,17,23.5,13,25,52,8,17,47.1,21,42,50,34,123,27.6,,
Ben Simmons,PHI,24,453,181,285,63.5,60,146,41.1,3,13,23.1,0,1,0,1,2,50,1,3,33.3,2,6,33.3,,
Blake Griffin,BKN,32,253,39,57,68.4,13,39,33.3,3,21,14.3,5,20,25,2,3,66.7,7,23,30.4,38,113,33.6,,
Bobby Portis,MIL,26,389,80,115,69.6,40,84,47.6,41,86,47.7,7,14,50,9,21,42.9,16,35,45.7,33,69,47.8,,
Bogdan Bogdanovic,ATL,28,253,23,33,69.7,16,39,41,14,30,46.7,7,9,77.8,10,23,43.5,17,32,53.1,41,119,34.5,,
Bojan Bogdanovic,UTA,31,584,60,113,53.1,48,117,41,15,44,34.1,17,50,34,44,96,45.8,61,146,41.8,60,164,36.6,,
Bradley Beal,WAS,27,926,140,214,65.4,99,201,49.3,120,245,49,8,22,36.4,7,20,35,15,42,35.7,75,224,33.5,,
Brandon Clarke,MEM,24,382,119,171,69.6,53,128,41.4,9,23,39.1,7,17,41.2,5,19,26.3,12,36,33.3,7,24,29.2,,
